1,Hostel 9,More than 15 years in the area of building market risk models for Capital Markets in investment banking.,HSBC,Global Head of Fixed Income Risk Modelling,2001,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Finance,2,0,1,0
2,Hostel 11,"HR, Talent Management, Diversity & Inclusion Humanities",Blue Star Ltd.,"Head - Talent Management, Diversity & Inclusion",2009,Doctor of Philosophy - Ph.D. / D.Phil.,India,Humanities & Social Science,Management,1,0,1,0
3,Hostel 8,Building products for large and mid sized organizations.,WorkSpan,"Director, Product Management",2000,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management,2,0,1,0
4,Hostel 9,Promoting and supporting entrepreneurship at IITB. Helping early stage entrepreneurs to get started on the right track.,IIT Bombay,"Head, Programs, DSSE",2004,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Other,4,0,1,0
5,Hostel 9,I am working with clients of Media and Telecom sector who are located across the globe.,Accenture Strategy,Management Consulting Analyst,2014,Bachelor of Technology - B.Tech.,India,Civil Engineering,Management consulting,2,0,1,0
6,Hostel 2,Setting up student success and curriculum programs at Whitehat Jr (an ed-tech organization),Whitehat Jr.,AVP,2011,Dual Degree - B. Tech. & M. Tech.,India,Civil Engineering,Management,2,0,1,0
7,Hostel 8,"Analytics, Strategy, Startups, Digital Marketing, Business Modeling, Insurance, Automotive",CARS24,"Director, Business Insights & Strategy",2008,Bachelor of Technology - B.Tech.,India,Electrical Engineering,Analytics,3,0,1,0
8,Hostel 6,6.5 years of oil and gas field experience with Schlumberger; Management Consultant,McKinsey & Company,Associate,2011,Bachelor of Technology - B.Tech.,India,Civil Engineering,Management consulting,2,0,1,0
9,Hostel 4,"Management Strategy, Business Planning, Ion exchange Membrane Technolgy",Self Employed,Consultant,1972,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management consulting,2,0,1,0
10,Hostel 10,Research at the intersection of computer architecture and genomics.,Stanford University,PhD student,2017,Dual Degree - B. Tech. & M. Tech.,India,Electrical Engineering,Research,1,0,1,0
11,Hostel 9,I retired as Dy Managing Director from State Bank of India after putting in 38 years of service.Can mentor students in any area.,Central Depository Services Limited,Chairman,1976,Master of Science - M.Sc. / S.M.,India,Physics,Finance,2,0,1,0
12,Hostel 12,He is into Healthcare Domain related and also he is an senior bussiness analyst,Cerner,Senior Product Owner,2016,Master of Business Administration - M.B.A.,India,Shailesh J. Mehta School of Management,IT,2,0,1,0
13,Hostel 3,BCG 2014-2019; MBA at Wharton 2019-2021. Currently working as a senior associate at Google,Google,"Senior Associate, Strategy and BizOps",2014,Bachelor of Technology - B.Tech.,United States,Chemical Engineering,Management consulting,2,0,1,0
14,Hostel 1,"Working in Traffic and transportation, intelligent transportation systems",IBI Group,Director,2000,Master of Technology - M.Tech.,India,Civil Engineering,Management consulting,1,0,1,0
15,Hostel 11,Working in Technology education and career development,PayPal India,Program Manager,1996,Master of Philosophy - M.Phil.,India,Humanities & Social Science,Other,1,0,1,0
16,Hostel 4,Working in Management consulting and Investment management,Global Infrastructure Partners India LLP,Director,2006,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management consulting,2,0,1,0
17,Hostel 4,"Working in Process engineering, Production management",Pi Industries,Manager,2013,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Core engineering,2,0,1,0
18,Hostel 6,"Managing Engineering of Mega Fertilizers, Refineries, Petrochemical plants all over world.",Thyssenkrupp Industrial Solutions India Pvt Ltd,Senior General Manager & Head Of Department - Plant Design,1985,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Core engineering,4,0,1,0
19,Hostel 5," Working as a Global operations Head in the fields of Banking, Software at HCL",HCL,Global operations director,1991,Master of Science - M.Sc. / S.M.,India,Physics,IT,3,0,1,0
20,Hostel 4, Working in Consumer Lending - Acquisitions at Goldman Sachs,Goldman Sachs,Associate,2012,Bachelor of Technology - B.Tech.,United States,Electrical Engineering,Finance,2,0,1,0
21,Hostel 12,"Data science, working on multiple problems related to ML, Optimisation",Facebook,ML Engineer,2005,Master of Technology - M.Tech.,India,Other,Analytics,2,0,1,0
22,Hostel 5,Have been in leadership roles in the domain of Pre-school and School education,Vishwajyot schools,COO,1996,Bachelor of Technology - B.Tech.,India,Electrical Engineering,Management,1,0,1,0
23,Hostel 2,Software engineer who likes exploring and building products. Was at Google previously before I decided to explore the startup world.,Neeva,Software Engineer,2015,Bachelor of Technology - B.Tech.,United States,Computer Science & Engineering,IT,2,0,1,0
24,Hostel 7,Co-head Group Strategic Planning. 19+ years experience in banking in New York and London.,UBS,Executive Director,1994,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Finance,1,0,1,0
25,Hostel 7,Doctoral Candidate at ETH Zurich.He is a researcher in the field of Machine learning & Data Science.Worked at freelance Data Scientist in ZipGo.,ETH Zurich,Doctoral Candidate,2009,Bachelor of Technology - B.Tech.,Switzerland,Metallurgical Engineering & Materials Science,Research,3,0,1,0
26,Hostel 7,Global Engineering head for Electric Power Gensets below 1000 kVA,Caterpillar,Chief Engineer,1994,Bachelor of Technology - B.Tech.,India,Civil Engineering,Management,1,0,1,0
27,Hostel 13,Working as the Manager in  R&D at Bharat Petroleum.,Bharat Petroleum Corporation Limited,Manager (R&D),2004,Master of Science - M.Sc. / S.M.,India,Biosciences & Bioengineering,Research,1,0,1,0
28,QIP, Founder of a company based in Engineering Consulting,"Shiv Sulphuric Solutions,",Founder,2004,Master of Management - M.M. / M.Mgt. / M.Mgmt.,India,Shailesh J. Mehta School of Management,Core engineering,2,0,1,0
29,Hostel 6,"Working in Pharmaceutical Industry, R&D and scale up. Currently I am a Process Engineer at Dr.Reddy Labs",Dr Reddy's laboratories,Process Engineering Specialist,2013,Dual Degree - B. Tech. & M. Tech.,India,Chemical Engineering,Core engineering,2,0,1,0
30,Hostel 4,"Consumer Electronics, Autonomous vehicles, Sensors, Automotive, Product Design, Mechatronics",Tesla,Sr. Engineering Manager,1987,Dual Degree - B. Tech. & M. Tech.,India,Mechanical Engineering,Core engineering,4,0,1,0
31,Hostel 12,Working in Design at Texas Instruments for more than 10 years,Texas Instruments,Digital Design Manager,2007,Master of Technology - M.Tech.,India,Electrical Engineering,Core engineering,1,0,1,0
32,Hostel 5,Building NeoDove and NeoBiz- Sales & Marketing Solution for SMBs across the globe.,NeoDove,CoFounder,2010,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Other,2,0,1,0
33,Hostel 3,"I have experience in Higher Education, Entrepreneurship Etc.",ASTRO METALLURGICAL (I) PVT LTD,MANAGING DIRECTOR,1981,Master of Technology - M.Tech.,India,Metallurgical Engineering & Materials Science,Core engineering,2,0,1,0
34,Hostel 14,I am currently working in International Sales for Land Mobility Division. Currenlooking after ASEAN and SAARC region.,Tata Aerospace and Defence,Deputy General Manager (International Business),2011,Master of Technology - M.Tech.,India,Metallurgical Engineering & Materials Science,Core engineering,4,0,1,0
35,Hostel 7,"Risk consulting and modeling, largely working with banks and financial institutions",McKinsey & Company,Specialist,2017,Dual Degree - B. Tech. & M. Tech.,United States,Energy Science & Engineering,Management consulting,3,0,1,0
36,Hostel 7,"Information Technology People, Project and Process Management; Interested in Mathematics, Physics, Economics and the Theory of Constraints",Tata Consultancy Services Limited,Consultant,1994,Master of Technology - M.Tech.,India,Industrial Engineering & Operations Research - I.E.O.R.,IT,2,0,1,0
37,Hostel 12,"Interstate River Issues, Structural Engineering, Design of Hydropower Plants, Analysis of Underground Structures, Training and Capacity Building",Narmada Control Authority,Deputy Director,2009,Master of Technology - M.Tech.,India,Civil Engineering,Civil Services/Govt. of,2,0,1,0
38,Hostel 8,"41 years in Manufacturing with Aditya Birla Group in Cement, Carbon Black, Aluminum, Acrylic Fiber, Sponge Iron. Certified CFI Executive Coach.",Retired,NA,1976,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Core engineering,2,0,1,0
39,Hostel 3,"Venture Capital, startups, investment banking, been the Manager of Carbon Clean Solutions Startup and venture funding, fintech, consumer brands",Waterfield Advisors,Director,2008,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Finance,1,0,1,0
40,Hostel 3,"MBA Admissions Consulting. I can help with insights over a wide variety of careers across technology, strategy (consulting) and banking.",MBA Crystalball,Chief Consulting Officers,2003,Dual Degree - B. Tech. & M. Tech.,India,Chemical Engineering,Management consulting,2,0,1,0
41,Hostel 10,"Market, sector and startup research. Sector agnostic role at IIM A's incubator. Previously worked as Sr. Manager for digital banking at RBL bank",CIIE.CO at IIM Ahmedabad,Sr. Associate,2017,Dual Degree - B. Tech. & M. Tech.,India,Physics,Other,4,0,1,0
42,Hostel 2,Worked in finance trading global markets with investment banks and hedge fund.,Morgan Stanley,portfolio manager,2005,Bachelor of Technology - B.Tech.,India,Computer Science & Engineering,Finance,4,0,1,0
43,Hostel 4,"28 years experience in diverse technology industries, followed by 7 years in academics, and now 3 years in non-profit.",WIN Foundation,Director India Operations,1981,Bachelor of Technology - B.Tech.,India,Electrical Engineering,Core engineering,3,0,1,0
44,Hostel 1,"Manufacturing, Project Engineering, Chemical Industry, Solar PV Manufacturing, Solar PV Power Projects, R&D, Design, Management Consulting",ANANYAVIJAYA CONSULTANCY LLP,DIRECTOR,1990,Doctor of Philosophy - Ph.D. / D.Phil.,India,Chemical Engineering,Management consulting,2,0,1,0
45,Hostel 3,"Agricultural Tractors, Construction Equipment, Automotive, Product and Graphic design","ESCORTS LTD, faridabad",Head- Styling Studio,1995,Master of Design - M.Des. / M.Design,India,Industrial Design Centre,Design,4,0,1,0
46,Hostel 1,"Most of my work is related to product development, sheet metal engineering.",Mahindra & Mahindra Ltd,Lead Engineer - Body Systems,2006,Master of Technology - M.Tech.,India,Mechanical Engineering,Research,2,0,1,0
47,Hostel 1,Working as a Project Team Leader in Advisory Services,Leading Management Consulting Firm,Ernst & Young LLP,1998,Doctor of Philosophy - Ph.D. / D.Phil.,India,Aerospace Engineering,Research,1,0,1,0
48,Hostel 12,Working in Environmental Compliance and Sustainability,Ex General Motors,Assistant General Manager,2006,Master of Technology - M.Tech.,India,Centre for Environmental Science & Engineering - CESE,Core engineering,2,0,1,0
49,Hostel 2,"Sustainability professional leading Environment, Safety, Health and Human Rights and part of APAC Product Supply Leadership team.",Bayer,Head of HSE - South Asia,1992,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Core engineering,2,0,1,0
50,Hostel 12,"Aerospace structural design, testing, vibration, acoustics -testing, fabrication, metallurgy",Vikram Sarabhai Space Centre/ISRO,"Dy. Project Director, GSLV MkIII",2004,Master of Technology - M.Tech.,India,Aerospace Engineering,Core engineering,2,0,1,0
51,Hostel 8,Currently traveling an entrepreneur journey. Have worked in supply chain consulting and strategy consulting.,Healthcell Services pvt ltd,Director,1991,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management,3,0,1,0
52,Hostel 12,Working as a senior lead engineer for SoC design and verification.,Intel,SOC Design and Verification Engineer,2015,Master of Technology - M.Tech.,India,Electrical Engineering,Core engineering,2,0,1,0
53,Hostel 5,"Engineering design, automation, special purpose machines, product cost control, quality and others",Costmyze Solutions,Founder Consultant,1982,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Core engineering,2,0,1,0
54,Hostel 2,Business success using content; Documentation; Content strategy; Product management,Adobe Systems India,Content lead and strategist,2007,Bachelor of Technology - B.Tech.,India,Chemical Engineering,IT,2,0,1,0
55,Hostel 5,Most work building large scale data science applications for Bing shopping team.,Microsoft,Senior Software Engg/ Data Scientist,2010,Master of Technology - M.Tech.,India,Electrical Engineering,Research,2,0,1,0
56,Hostel 6,I have worked in the field of aerospace on satellites and jet engines. Currently our company is working on the green propulsion system for the satellites.,Manastu Space Technologies,CEO,2014,Dual Degree - B. Tech. & M. Tech.,India,Aerospace Engineering,Core engineering,3,0,1,0
57,Hostel 5,"Spent four years at Blackstone, in the Private Equity team. Working at a hedge fund with a focus on growth investing in Indian tech companies",Falcon Edge Capital,Investment Analyst,2016,Bachelor of Technology - B.Tech.,India,"Mechanical, Metallurgical Engineering & Materials Sciences, & Mathematics",Finance,1,0,1,0
58,Hostel 14," Working in the fields of Computer Vision, Data Science, Deep Learning",Myntra,Senior Staff Data Scientist,2011,Master of Technology - M.Tech.,India,Electrical Engineering,Other,1,0,1,0
59,Hostel 2,Advising and mentoring startups for the fundraising activities,Fern Partners,Partner,2002,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Finance,4,0,1,0
60,Hostel 9,"Combines Creative Ideation with Execution expertise. Comfortable with the unknown & the flux in Start-Ups.
 1) Hiring and Mentoring a Team; Setting up a Studio & systems; and Managing Traffic.
 2) Interests: Design Management, Retail Design, Packaging,",DESIGN EXPRESS,Creative Director,1995,Master of Design - M.Des. / M.Design,India,Industrial Design Centre,Strategy consulting,2,0,1,0
61,Hostel 8,16 years of experience with Bell Laboratories in software product development and integration. 16 years of entrepreneurial experience.,Bohiyaanam Technology (P) Ltd.,CTO,1982,Bachelor of Technology - B.Tech.,India,Electrical Engineering,Research,3,0,1,0
62,Hostel 1,"Rtd. Senior Reservoir Geologist at ADCO.Former CIO, CTO and Chief Reserves Assurance at Reliance Industries Ltd. Oil & Gas.",RIL-E&P,CIO (Retired),1983,Doctor of Philosophy - Ph.D. / D.Phil.,India,Earth Sciences,Research,2,0,1,0
63,Hostel 8,My career spans over 17 years with over 11 years in the corporate world and more than 5 years in entrepreneurship. ,PurpleTutor,Founder & CEO,2002,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management,2,0,1,0
64,Hostel 12,Simulation and modelling of optical and RF applications. Also currently pursuing part-time PhD at IISc in DESE Department.,COMSOL,Application engineer,2013,Master of Technology - M.Tech.,India,Electrical Engineering,Research,1,0,1,0
65,Hostel 8,I work as Solution Architect in Cisco Systems primarily developing solutions for Service Provider customers to provision their network.,Cisco Systems,Solutions Architect,2000,Bachelor of Technology - B.Tech.,India,Chemical Engineering,IT,1,0,1,0
66,QIP,"Marketing,Planning,Info Systems,Management,Arbitration, Contract Management, Project Management etc.",IITArb,Sr. Vice President,1991,Master of Technology - M.Tech.,India,Shailesh J. Mehta School of Management,Management,4,0,1,0
67,Hostel 5,"Working in Systems Engineering, Mechanical Design, Research & Innovation",Wabtec Corporation,Principal Engineer,1988,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Core engineering,3,0,1,0
68,Hostel 4,"CAD/CAM/PLM Creo/Windchill I mainly work on software development using java, html, node, angular. Sr software tech-consultant at ptc",PTC,Sr Tech Consultant,1997,Master of Technology - M.Tech.,India,Aerospace Engineering,IT,2,0,1,0
69,Hostel 5,"I consult organisations on strategy execution and business transformation. I have experience in business process optimization, analytics and digitization.",Millicodes,Founder & CEO,1983,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Analytics,2,0,1,0
70,Hostel 12,Working as a Client onboarding specialist.,Flextrade India,Senior Onboarding Specialist,2016,Master of Technology - M.Tech.,India,Centre for Technology Alternatives for Rural Areas - CTARA,Other,2,0,1,0
71,Hostel 7,I was worldwide head of HR for an IT company with about 15000 employes.,Private consulting,Retired,1978,Bachelor of Technology - B.Tech.,India,Metallurgical Engineering & Materials Science,Other,2,0,1,0
72,Hostel 1,"Working in Corporate Strategy , VC as a Associate Director",Infinx Inc,Associate Director,2014,Master of Management - M.M. / M.Mgt. / M.Mgmt.,India,Shailesh J. Mehta School of Management,Strategy consulting,1,0,1,0
73,Hostel 4,My work entails Business profiles at a major educational company,Vedantu.com,Business growth lead,2014,Bachelor of Technology - B.Tech.,India,Metallurgical Engineering & Materials Science,Management,2,0,1,0
74,Hostel 13,Heading supply chain for the organization,Parksons Packaging,AVP - SCM and Planning,2007,Master of Management - M.M. / M.Mgt. / M.Mgmt.,India,Shailesh J. Mehta School of Management,Management,3,0,1,0
75,Hostel 9,Working as Business Head for the South Asia in GM,PayJoy,GM SOUTH ASIA,2002,Bachelor of Technology - B.Tech.,India,Metallurgical Engineering & Materials Science,Management,3,0,1,0
76,Hostel 6,The last place I worked was in L&T and now I am working on setting up my own firm and being a VC.,Working on it.,Founder and VC,2004,Master of Technology - M.Tech.,India,Electrical Engineering,Management consulting,4,0,1,0
77,Hostel 12,Running AI trading firm with cutting edge AI technologies.,Helfie Mobile Solutions,CEO,2008,Master of Technology - M.Tech.,India,Computer Science & Engineering,Analytics,4,0,1,0
78,Hostel 13,"Heading a business unit of MPL Sports, an E-commerce/brands business of MPL",Mobile Premier League,Head - Business Unit,2011,Dual Degree - B. Tech. & M. Tech.,India,Mechanical Engineering,Strategy consulting,2,0,1,0
79,Hostel 3,Worked as a management trainee at Johnson & Johnson post MBA from IIM Calcutta. Currently preparing for the civil services.,Preparing for the Civil Services,Not working currently,2017,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management,4,0,1,0
80,Hostel 5,"I have been working as a big data engineer at Airbus. Now I will be pursuing my Masters at University of Massachusetts, Amherst.",Airbus,Engineer,2018,Dual Degree - B. Tech. & M. Tech.,United States,Mechanical Engineering,IT,1,0,1,0
81,Hostel 5,Currently a second year MBA student at IIM Bangalore,IIM Bangalore,PGP,2019,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Management,3,0,1,0
82,Hostel 6,"My work experience is in Logistics, Supply Chain, Procurement, Planning and Customer Service.",Blackwoods,Head of Supply Chain Planning,1981,Bachelor of Technology - B.Tech.,Australia,Mechanical Engineering,Management,1,0,1,0
83,Hostel 3,Heading Business Development for Aarti. Working on new product development and customer partnerships.,Aarti Industries Limited,BD Head,2006,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management,1,0,1,0
84,Hostel 12,Working in Corporate research in healthcare domain,Philips Research,Sr. Scientist,2005,Master of Technology - M.Tech.,India,Biosciences & Bioengineering,Research,1,0,1,0
85,Hostel 3,"Working in the field of interiors, construction and real estate.",RA Interio/RJ Infra Interio/Ravi Jain Designers,Director,2017,Bachelor of Technology - B.Tech.,India,Civil Engineering,Management,2,0,1,0
86,Hostel 9,"Design Innovation, Sustainability, Climate Mitigation, Cities, Technology and Public Policy",Imperial College London,Research Associate,2014,Master of Technology - M.Tech.,United Kingdom,Centre for Environmental Science & Engineering - CESE,Research,2,0,1,0
87,Hostel 7,"Former CEO & MD at various Indian companies/subsidiaries of MNCs, including Rohm and Haas India, Dow Chemical India and ACC Limited",-,"Former CEO, currently taking a break",1985,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Core engineering,2,0,1,0
88,Hostel 9,Build data science products and data driven strategy across startups and large firms,Zapr,Data Scientist,2006,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Analytics,4,0,1,0
89,Hostel 2,Run one startup in Electric Vehicles industry and am an advisor/mentor to couple of other fintech startups.,LithionPower,Co-founder,2000,Bachelor of Technology - B.Tech.,India,Computer Science & Engineering,Management,4,0,1,0
90,Hostel 3,Co-founded and worked in firms specializing in quant,Hyberbolic,Founding Principal,2009,Bachelor of Technology - B.Tech.,India,Computer Science & Engineering,Finance,2,0,1,0
91,Hostel 3,"I head strategy for Sharechat, a Bangalore based startup valued at 3Bn USD and backed by Twitter, Snapchat, Tiger Global, Temasek etc.",Mckinsey,Sr Director- strategy and operations,2005,Dual Degree - B. Tech. & M. Tech.,India,Electrical Engineering,Strategy consulting,4,0,1,0
92,Hostel 9,"I like building businesses and products that have a fine blend of technology, scale, and innovation.

Over the past stints, I've built organizational culture with strong core values, prioritize the customer value proposition, build great teams, mentor and empower them to move fast to get the impossible done.
",Startup,Software,2005,Bachelor of Technology - B.Tech.,India,Computer Science & Engineering,IT,2,0,1,0
93,Hostel 2,Worked in strategy consulting and currently in private equity. Ex-Associate at BCG,CVC Capital Partners,Analyst,2018,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Finance,3,0,1,0
94,Hostel 1,Associte Vice President at Wockhardt.Former Research Scientist at Aurigene Technologies(Research in Biotechnology and Pharmaceutical),Wockhardt,Associte Vice President,1998,Doctor of Philosophy - Ph.D. / D.Phil.,India,Biosciences & Bioengineering,Research,2,0,1,0
95,Hostel 6,Legitquest is a Legal tech startup. We offer SaaS solutions to lawyers in content and analytics space.,Legitquest,Founder / CTO,1995,Master of Technology - M.Tech.,India,Civil Engineering,Other,2,0,1,0
96,Hostel 8,STRUCTURAL CONTROL USING PASSIVE ENERGY DISSIPATION DEVICES,"MARWADI EDUCATION FOUNDATION GROUP OF INSTITUTION, RAJKOT",PROFESSOR,2010,Doctor of Philosophy - Ph.D. / D.Phil.,India,Civil Engineering,Core engineering,2,0,1,0
97,Hostel 12,Ex-Manager at ICICI Bank. Market Risk- Derivatives and Fixed income. Worked as Software Engineering Analyst at Accenture.,Morgan stanley,Manager,2016,Master of Management - M.M. / M.Mgt. / M.Mgmt.,India,Shailesh J. Mehta School of Management,Finance,2,0,1,0
98,Hostel 13,Leading product management team,Cleartax,Director of Product,2008,Bachelor of Technology - B.Tech.,India,Aerospace Engineering,Core engineering,1,0,1,0
99,Hostel 13,"Project Management, Asset Management, Private Equity, Supply Chain Management, Planning, Cost Control & Administration",OXEML,Commercial Director,2011,Dual Degree - B. Tech. & M. Tech.,United Kingdom,Chemical Engineering,Strategy consulting,4,0,1,0
100,Hostel 12,"Working closely with our clients, Consulting professionals, design, build and implement strategies that can help enhance business performance in a diverse project environment Identifying, assessing and solving complex business problems for area of responsibility, where analysis of situations or data requires an in-depth evaluation of variable factors. Identifying a client's high-level business needs and solutioning",Accenture,Technology Consultant,2016,Master of Management - M.M. / M.Mgt. / M.Mgmt.,India,Shailesh J. Mehta School of Management,Strategy consulting,2,0,1,0
101,Hostel 6,"Ex-Lead data-enabled products for OYO US growth, focusing on identifying and onboarding new properties and businesses.
As founding employee , previously led TV Audience Ad Retargeting products, analytics and operations for a silicon valley rock star start-up that is revolutionizing multi screen ad targeting delivering true TV audience data.
16+ years of experience in technology product management, business operation and corp dev, strategy & management consulting for various hi-tech industry domains.
Angel investor and advisor to kickass start-up PurpleTutor (www.purpletutor.com) and Growisto (www.growisto.com)
",Amazon,Head Product Management,2002,Bachelor of Technology - B.Tech.,United States,Metallurgical Engineering & Materials Science,Other,2,0,1,0
102,Hostel 6,"Previously handled Products at Innoviti, a fast-growing company in the exciting payments space that pioneered the use of technology to solve payment acceptance problems in retail space.",Uptycs India,Managing Director,1991,Bachelor of Technology - B.Tech.,India,Electrical Engineering,IT,2,0,1,0
103,Hostel 9,Working in Materials Management. Was Core Team member for implementation of MM module of SAP and Process owner for implementation of SRM Module of SAP. Presently assigned as Technical Assistant to Executive Director (Materials Management).,SAIL,GM(Purchase-Mechanical),1991,Bachelor of Technology - B.Tech.,India,Metallurgical Engineering & Materials Science,Other,1,0,1,0
104,Hostel 9,"- Exploring investments in the renewable energy space, and working with portfolio companies for Tata Industries Ltd; past experience includes equity research (finance) at JP Morgan",Tata Industries Ltd.,Senior Analyst,2018,Dual Degree - B. Tech. & M. Tech.,India,Electrical Engineering,Finance,3,0,1,0
105,Hostel 4,"Currently part of the product team at OYO, prior to my current role I was part of the strategy team at OYO. Before making the swith OYO, I had joined BCG from campus.",OYO Rooms,Product Manager,2017,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management consulting,2,0,1,0
106,Hostel 12,Making core thermal power plants more efficient. Business lead to Modernize power plants. Digitalization of power plants with embedded Artificial Intelligence and Machine Learning,Siemens Limited,Chief Manager,2005,Master of Technology - M.Tech.,India,Energy Science & Engineering,Analytics,2,0,1,0
107,Hostel 10,"Strategic IT Project Manager with 4 years of work experience, I worked as an Assistant General Manager in Vodafone Idea Limited, where I lead MIS consolidation and migration projects from a delivery perspective.Currently pursuing my PGP in IIM Bangalore",Vodafone Idea Limited,Assistant General Manager,2017,Bachelor of Technology - B.Tech.,India,Chemical Engineering,IT,3,0,1,0
108,Hostel 7,"Working with Manufacturing customer in areas of Machine manufacturing, Industrial chemicals and coatings, Automotive and Aero tier1, in areas of IT consulting, process improvement and ERP implementations",TCS,Delivery Partner,2004,Master of Management - M.M. / M.Mgt. / M.Mgmt.,India,Shailesh J. Mehta School of Management,IT,1,0,1,0
109,Hostel 2,I am working in the private equity sector. Part of the team at Blackstone India focused on making control-oriented investments in businesses based in India.,Blackstone,Associate,2017,Bachelor of Technology - B.Tech.,India,Mechanical Engineering,Finance,2,0,1,0
110,Hostel 12,"Ex-Associate at JP Morgan & Chase. Decision Analytics, Resource Planning and Optimization. An Operations Research and Analytics Professional with over 5+ years of versatile experience in domains of Banking, Aviation, Supply Chain, Logistics and Manufacturing Industries in taking Mathematics driven Business Decisions. Specialities : Linear & Mixed Integer Programming, Large Scale Optimization, Queueing Theory, Machine Learning. Technology : Ilog Cplex OPL Studio and Concert with Java C++, Python, SAS, SQL, R, VBA, Advanced Excel.",Tata Insights & Quants,Manager,2012,Master of Technology - M.Tech.,India,Industrial Engineering & Operations Research - I.E.O.R.,Analytics,1,0,1,0
111,Hostel 1,"Leading Team, Strategy and roadmap management, Delivery of automation solution on Big data Hadoop, Machine Learning solutions, Al solutions delivery",Barclays Technology Center India,Associate Vice-President,2005,Master of Technology - M.Tech.,India,Energy Science & Engineering,Management,3,0,1,0
112,Hostel 2,"I've been working in Financial services across Investment Banking (Credit Suisse, Goldman Sachs) and Fintech (InCred, Visa). In my current role, I head Consumer Credit Products for Visa India and South Asia",Visa Inc,Associate Director,2010,Bachelor of Technology - B.Tech.,India,Aerospace Engineering,Finance,3,0,1,0
113,Hostel 1,"Responsible for conceptualizing, establishing and growing the business of plasma products for one of the leading Biopharmaceutical companies of India.",PlasmaGen BioSciences,CEO,1994,Doctor of Philosophy - Ph.D. / D.Phil.,India,Biosciences & Bioengineering,Strategy consulting,1,0,1,0
114,Hostel 13,"I am an Indian Administrative Service (IAS) officer of 2016 batch. Bihar Cadre. I am looking after public administration of the district (Vaishali, Bihar) in general, and development administration to be specific.",Government of Bihar,"Deputy Development Commissioner cum Chief Executive Officer, Zila Parishad",2010,Bachelor of Technology - B.Tech.,India,Metallurgical Engineering & Materials Science,Civil Services/Govt. of,3,0,1,0
115,Hostel 12,"Working in R-&D- Chassis Design at Ola Electric.8 years experience in R&D, worked for design of chassis of Land Rover's Discovery sports and Hero's Maestro Edge, Duet Auto- 2&4 wheeler R&D. Chassis design in Tata Motors and Hero Motocorp Ltd",Ola Electric LTD,SENIOR MANAGER,2009,Master of Technology - M.Tech.,India,Mechanical Engineering,Design,3,0,1,0
